commit	mean_expert	n_scored	status	description
5efcabd	25	76	baseline	Baseline: 25/76 assertions (33%)
390559d	30	76	keep	Glossary (domeinen=Wlz/Zvw/Wmo) + procedural knowledge + NHC/MPT/VPT terms. Q2,Q6 fully fixed, Q8,Q9,Q17 improved.
c097aab	32	76	discard	Hybrid section matching (direct+keyword). +2 assertions but Q3 regressed 3â†’0 (extra context confused model on 10-client rule). Net gain not worth regression.
0f69d67	34	76	keep	Prompt thoroughness: read full context before saying unanswerable. Q16 1â†’3, Q17 5/5, Q20 0â†’2, Q18 1â†’2. No regressions. 30â†’34 assertions.
e5da8c2	34	76	keep	Naming (Zilveren Kruis) + decisive yes/no + background knowledge emphasis. Q8 2â†’4/4, Q4 0â†’2, Q1 2â†’3. Q17 regressed (LLM variance). Net 34 but structural improvement.
8cd8c3c	25	76	discard	Keyword min 2 hits: major regression 34â†’25. Removed too much useful context for GZ questions. Q3, Q17, Q19 all regressed.
445da56	29	76	discard	Enable quote-before-conclude: regression 34â†’29. Q12 improved but Q3,Q9,Q16,Q18 regressed. Quoting makes answers longer, not better.
d712b5f	49	147	baseline	Expanded golden set (39 questions, 147 assertions). Baseline on full set: 33%.
c30d654	74	147	keep	Major background knowledge expansion: NZa prestatiecodes, Voorschrift ZT, hardheidsclausule, vastgoed NHC, spiegelinformatie, VPT/MPT. 49â†’74 assertions (33â†’50%). No regressions.
3e79387	72	147	discard	VV tariff specifics + essentiĂ«le voorzieningen: 74â†’72, slight regression. Q16, Q17, Q19 lost assertions. Added context may dilute existing knowledge.
b0b8a9d	70	147	discard	Enable verify loop: 74â†’70, regression. Q3 3â†’1, Q14 4â†’3, Q18 1â†’0. Over-correction harms good answers.
5e73baa	77	147	keep	Few-shot examples for tarief, Voorschrift ZT, prestatiecodes. Q13 0â†’2, Q27 1â†’2, Q36 2â†’3, VV from 39%â†’50%. 74â†’77 assertions (52%).
c0f4341	82	147	keep	Few-shot examples for VPT NHC + hoge/lage zorg. Q26 0â†’5/5 (perfect!), Q38 0â†’2. 77â†’82 assertions (56%). No regressions on perfect questions.
8053b97	92	147	keep	Transitiemiddelen/programmamanagement + richttarief knowledge+examples. Q24 0â†’4/4, Q25 0â†’2, Q35 0â†’2, Q38 2â†’3. GZ at 70%. 82â†’92 (63%).
a9d05e7	91	147	discard	VZT details expansion: Q5 0â†’2 (fixed!) but Q36 3â†’1, Q27 2â†’1. Net 92â†’91. Context dilution.
	c0770de	96	147	keep	Iteration 14: 4 ablation-ready interventions. NZa few-shot (replaced emphasis block), VV few-shot, section citations, collaborative framing. VV 43%â†’61%.
	e761909	99	147	keep	Iteration 15: BG knowledge (IZA/WOZO/GALA, reĂ«el tarief, juli/sept, sectorvreemde) + few-shot (Q28/Q37/Q17/Q27/Q12). Q37 1â†’4/4, Q12 1â†’3/4. VV 61%â†’75%. Confirmed stable 98-99.
